Role,Message,Images/ Voice Messages/ etc,Channel,Event Marker,Date of message,Notes
Lead,What’s normally the process time?,,,,,
Lead,For the application,,,,,
Lead,I called them and no one answered.,,,,,
Agent,Okay perfect lol. Usually about a week. Depends on if they need any more documents from you. No movement usually over the weekends because managers are typically off then. So I’d say yall will communicate and get a final approval decision around this time next week,,,,,
Lead,Loved “Okay perfect lol. Usually about a week. Depends on…”,,,,,
Lead,"Ok, sound good…",,,,,
Lead,Say a prayer for me!,,,,,
Agent,Emphasized “Say a prayer for me! ”,,,,,
Agent,🙏🏼,,,,,
Lead,Loved “🙏🏼”,,,,,
Lead,Hi! Can you call them for me please.,,,,,
Lead,I’m kinda confused.,,,,,
Lead,I see a security deposit posted and a couple of other questionable things…,,,,,
Lead,Then I see the apartment I applied for is not Available.,,,,,
Lead,Is it because I’m approved for it?,,,,,
Lead,I know they’ll answer for you.,,,,,
Lead,I just attempted to call…,,,,,
Lead,It said security deposit 150.00,,,,,
Agent,What’s questionable about the security deposit? Once you apply it gets taken off the website until you either get approved or denied,,,,,
Lead,Isn’t that only required once you’re approved?,,,,,
Lead,It wasn’t there when I filled out the application.,,,,,
Lead,Yesterday…,,,,,
Agent,It depends on the property. I’ll try calling in a sec to ask,,,,,
Lead,"Ok
 Thanks",,,,,
Lead,Liked “It depends on the property. I’ll try calling in a …”,,,,,
Agent,No problem,,,,,
Lead,Any word?,,,,,
Agent,No they haven’t picked up. I’ll keep trying periodically until they close,,,,,
Lead,Liked “No they haven’t picked up. I’ll keep trying period…”,,,,,
Lead,"Ok, thanks!",,,,,
Agent,"Loved “Ok, thanks!”",,,,,
Lead,No Luck?,,,,,
Agent,Nothing. I called 5 times,,,,,
Lead,Yeah calling now…,,,,,
Lead,No answer,,,,,
Lead,Nor can you leave a message.,,,,,
Lead,Crazy…,,,,,
Lead,Thanks anyways…,,,,,
Agent,"Dang, hopefully better luck tomorrow",,,,,
Agent,No problem,,,,,
Lead,Loved “No problem”,,,,,
Lead,I hope so…,,,,,
Agent,Emphasized “I hope so…”,,,,,
Agent,"Hey Danielle, checking up on you real quick. Have they updated you on your application?",,,,,
Lead,I drop the ball…,,,,,
Lead,Everything processed and was going great.,,,,,
Lead,I mistakenly submitted the wrong S.S number rushing🤦🏽‍♀️,,,,,
Lead,I can’t locate my card.,,,,,
Lead,So I had to reapply for another one.,,,,,
Lead,They’re only willing to see my card and nothing else.,,,,,
Lead,So now I have to wait until my card come in to continue the application process.,,,,,
Lead,I’m so mad at myself…,,,,,
Agent,"Dang, have you already applied for your new ss card? How long until you get it?",,,,,
Lead,Yes yesterday and I did it takes approximately 2 weeks. I gave them the temporary paper with my social security number yesterday but they didn’t honor it.,,,,,
Lead,They call me this morning and told me the manager said no.,,,,,
Agent,"Okay, hopefully just a little delay. Let me know once your card comes in and you’re able to submit again",,,,,
Lead,Ok will do…,,,,,
Lead,I’m so upset,,,,,
Lead,Everything else came back ok.,,,,,
Agent,It’s okay. When it comes back we move forward. If they just need that everything should be fine,,,,,
Lead,I had everything planned out.,,,,,
Lead,But it’s ok…,,,,,
Lead,I guess…,,,,,
Agent,It’ll be okay,,,,,
Lead,Loved “It’ll be okay”,,,,,
Lead,Good morning… Just incase what’s option B?,,,,,
Lead,I don’t want to put all my eggs in one basket.,,,,,
Agent,"Good morning. I wouldn’t want you to apply and waste application/admin fees. This option is great since you’re partially approved and if anything happens we’ll take a look. Trust me on it, looking now and potentially waiting 2 weeks for your ss card for an answer from them anyway, we would just end up looking again in 2 weeks. Let this play out and based on what happens will determine what we do",,,,,
Lead,Loved “Good morning. I wouldn’t want you to apply and was…”,,,,,
Lead,"Hi, I’m still waiting on my social security card but I still would like to at least find another apartment as a back up plan just in case.",,,,,
Agent,Okay,,,,,
Agent,I’ll take a look today,,,,,
Lead,Ok thank you…,,,,,
Agent,My pleasure,,,,,
Lead,Loved “My pleasure ”,,,,,
Agent,Backups could be The Crawford at Grand Morton in Katy and Grove East in Humble.,,,,,
Agent,Please let me know if you’d like to see either of them so I can set up an appointment and send your guest card before you visit,,,,,
Lead,Ok sounds good! Thank you…,,,,,
Lead,Will do…,,,,,
Agent,You’re welcome!,,,,,
Agent,Loved “Will do…”,,,,,
Lead,My social security card came in today🤗🤗🤗,,,,,
Lead,So I’ll be up there tomorrow bright and early!☺️,,,,,
Agent,Sounds perfect! Let me know how it goes,,,,,
Lead,Loved “Sounds perfect! Let me know how it goes ”,,,,,
Lead,Will do!,,,,,
Lead,Hey…. The first one is permanently closed.,,,,,
Agent,What do you mean? Which one?,,,,,
Lead,The first apartment complex…,,,,,
Agent,What’s the first? Whats the name?,,,,,
Lead,The Crawford,,,,,
Agent,Where did you hear that?,,,,,
Lead,Google Maps,,,,,
Lead,When I gps it.,,,,,
Agent,"Don’t worry about that, must be a mess up. That’s not true",,,,,
Lead,Oh ok☺️,,,,,
Lead,Unfortunately I was denied…😔,,,,,
Lead,I will call today to see why…,,,,,
Agent,"Aw mann, I’m sorry to hear that",,,,,
Agent,Okay let me know,,,,,
Lead,Yeah… it was because of my credit…,,,,,
Lead,I wonder if I can find a co-signer…,,,,,
Lead,What other apartments do they have available?,,,,,
Lead,"Yeah, let’s do an updated list and possibly one with a month or two or prorated rent. A month or two free…",,,,,
Agent,What’s your credit?,,,,,
Lead,,IMG_1137.jpeg,,,,
Agent,What’s price you definitely want to stay under and # of bedrooms you need?,,,,,
Lead,1400 2 bedrooms,,,,,
Lead,Or 1 bedroom and a study.,,,,,
Lead,1500,,,,,
Agent,I’ll see what I can find today,,,,,
Lead,"Ok, no problem…",,,,,
Lead,Any updates?,,,,,
Agent,"Hey Danielle, sorry I’ve been really sick. 2beds under $1500 you can check out…
 
 - Grove East
 - The Crawford at Katy
 - Broadstone Woodmill Creek
 - Neo at ten",,,,,
Agent,Are you open to larger 1 bedrooms too?,,,,,
Lead,It’s ok I hope you feel better☺️,,,,,
Lead,1 bedroom and a study…,,,,,
Lead,No 1 bedrooms I have a 5 year old son.,,,,,
Agent,Thank you! And okay. Check out those 4 above and let me know what you think,,,,,
Lead,Loved “Thank you! And okay. Check out those 4 above and l…”,,,,,
Lead,"Ok, will do thanks!",,,,,
Agent,"Loved “Ok, will do thanks!”",,,,,
Agent,My pleasure!,,,,,
Lead,So I move in the Crawfords this weekend☺️,,,,,
Agent,That’s great! Congratulations 🍾,,,,,
Agent,"When you get a chance can you send me this info below…
 
 Unit:
 Base rent:
 Move date:
 Lease term:
 
 Once I input your info I’ll send you an update of how to expect your $200 rebate",,,,,
Lead,Loved “That’s great! Congratulations 🍾 ”,,,,,
Lead,THANK YOU🙏🏾☺️,,,,,
Lead,"Ok will do, sounds good☺️",,,,,
Agent,Loved “THANK YOU🙏🏾☺️”,,,,,
Agent,"Loved “Ok will do, sounds good☺️”",,,,,
Lead,"Unit:4308
 Base rent:1423.00
 Move date:10/05/2024
 Lease term:14 months",,,,,
Agent,"Thank you! Crawford usually pays out within 60-90 days of move-in. As soon as they make payment, my company will pay you out via Zelle 🙂",,,,,
Lead,Loved “Thank you! Crawford usually pays out within 60-90 …”,,,,,
Lead,I know it’s late but I just realized I didn’t get my rebate🤔,,,,,
Agent,,IMG_2806.heic,,,,
Agent,"Hey Danielle, sorry it’s taking so long! We’re still trying to collect on your invoice. They’re taking longer than expected but hoping the funding request is approved soon",,,,,
Lead,"Loved “Hey Danielle, sorry it’s taking so long! We’re sti…”",,,,,
Lead,"Ok sounds, good thanks!☺️",,,,,
Agent,"Loved “Ok sounds, good thanks!☺️”",,,,,
Agent,Of course!!,,,,,
,,,,,,
,,,,,,
Lead,"Hey Shani, this is Asiah Courts girlfriend. How are you? I was hoping to get your assistance with finding my next place.",,,,,
Agent,"Hey Asiah, yea of course. Happy to help. When does your lease end?",,,,,
Lead,Mid September,,,,,
Agent,"Okay, what areas are you looking to live?",,,,,
Lead,I would like to stay in the inner loop or right outside,,,,,
Agent,"Okay, how about price? Whats the max you want to be at?",,,,,
Lead,Good morning! Max would be 1400,,,,,
Agent,Good morning! Okay is that before or after specials you want to be at $1400? What days of the week work best for apartments tours?,,,,,
Lead,With specials I would like to be around 1400. Im pretty flexible on days!,,,,,
Lead,Preferably early afternoons,,,,,
Agent,Sounds good! What’s your last name and a good email? I’ll send some options in a bit,,,,,
Lead,Johns,,,,,
Lead,Asiahnj@gmail.com,,,,,
Lead,Thank you!,,,,,
Agent,"Thanks! And of course! I just emailed your list
 
 Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling 👍🏽
 
 Keep in mind prices you see are without specials. 
 
 Let me know the top 3-5 you want to tour ideally in the next 24-48 hours and I’ll set them up!",,,,,
Agent,"Also you’ll be getting a $200 cash rebate or free 2 hour move (your choice). 
 
 And I can only do that if you list me as your referral correctly when you tour and apply - If you know what to look for at time of application, that’s perfect. If not, just reach out before you start an app and I’ll guide you!",,,,,
Lead,"Great, thank you for getting it over so quickly! I’ll try to take a look this evening",,,,,
Agent,For sure! Sounds perfect,,,,,
Lead,Hey! How are you ? I was able to go through the list. I would like to go see MILLENNIUM HIGH STREET. Are you able to send some additional options ?,,,,,
Agent,Good morning! Does Tomorrow or Tuesday work for tours?,,,,,
Agent,And one more is 1810 Main. They have a unit for $1555 + 6 weeks free which would bring you under $1400 per month,,,,,
Lead,Liked “And one more is 1810 Main. They have a unit for $1…”,,,,,
Lead,Hey! Tuesday works for me! What time are you available?,,,,,
Agent,Tuesday I’m available after 2pm. Does that work?,,,,,
Lead,"Yes, that works !",,,,,
Agent,"Okay, I’ll set up Millennium and 1810 and get back to you!",,,,,
Lead,"Great, thank you",,,,,
Agent,"My pleasure. Here’s the schedule for tomorrow…
 
 2:30pm - Millennium High Street
 3:15pm - 1810 Main
 
 Let me know if you have any questions!",,,,,
Lead,Thanks !,,,,,
Agent,Of course!,,,,,
Lead,Hey! Do I need my idea to tour?,,,,,
Agent,Yes you will,,,,,
Lead,Liked “Yes you will”,,,,,
Agent,"Hey Asiah, making sure you’re all good for Millennium. I’ll be there right at 2:30",,,,,
Lead,"Hey, yes I’ll be arriving right on the dot as well!",,,,,
Agent,Cool!,,,,,
Agent,Ran into traffic on 610. GPS says 2:35 now,,,,,
Lead,"Okay, just pulling up.",,,,,
Agent,"Liked “Okay, just pulling up. ”",,,,,
Agent,"There should be a part in the application that says “how did you hear about us?” Or “who referred you?”
 …If there’s a dropdown, choose locator/realtor if there’s a text box just put my info, Ashanti w/ Nav Agency 👌🏽
 
 Good meeting you again. I’ll be around to help the whole process so let me know if you have questions or run into any issues",,,,,
Lead,Liked “There should be a part in the application that say…”,,,,,
Lead,"Great, thank you again!",,,,,
Agent,"You’re welcome, happy I could help!",,,,,
Lead,Hey! I don’t see 633 online 😩,,,,,
Lead,I was about to apply,,,,,
Agent,"Damn smh. They must’ve had mad tours today. I’m sorry, that’s how fast things move. Your best option now would be unit #0733. $1645 + 6 weeks free = $1439/mo.",,,,,
Agent,Either that or keep looking. Thats still the best price right now for a unit that size in a building that new inside the loop,,,,,
Lead,That was quick!,,,,,
Lead,I’m going to apply for that one now,,,,,
Agent,"Very! Okay, let me know once you submit",,,,,
Lead,I’m going to have to submit in the AM once they open. The application won’t allow me to move forward and they charged me for the app fee twice .,,,,,
Agent,"Damn, okay. Keep me in the loop",,,,,
Lead,"Liked “Damn, okay. Keep me in the loop”",,,,,
Lead,Good morning! Everything is fully submitted,,,,,
Agent,Sounds good! Let me know how everything goes with approval,,,,,
