Role,Message,Images/ Voice Messages/ etc,Channel,Event Marker,Date of message,Notes
Agent,Thanks a bunch!,,,,,
Agent,Hey Daniella! Just a quick follow-up whenever you get a moment to send over that lease info. Appreciate you!,,,,,
Lead,"-move date: 8/15/25
- base rent: $1710
- specials: 6 weeks free
- lease term: 12 months
- unit: 2212

We haven’t signed the lease yet though so I’ll let you know if there’s any changes!",,,Received lease info,,
Agent,Sounds good! Thanks for the info!,,,,,
Agent,Good morning Daniella! ☀️ I hope move in day went smooth. I wanted to thank you again for deciding to work with me. Please save my number and if theres any way I can ever be helpful please let me know how!,,,,8/20/2025,
Lead,"Good morning Ashanti! Thank you so much, I really appreciate all your help throughout this process. I’ll definitely save your number.",,,,,
Agent,So happy I was able to help. It’s really been a pleasure,,,,,
,,,,,,
,,,,,,
Agent," Hey Ivy, it's Ashanti from IG! Just so I send options for the rightmove dates, when exactly do you need to be moved in by?",,,,,
Lead,July 1st,,,,,
Agent,"Got it. Is there anything else you want to share that you really want with your new place? feet preferences, pet, friendly, specific amenities, etc.?",,,,,
Lead,I don't have any pets. Something around 600+ square feet pool and gym. It can be one bedroom or two bedroom no studio.,,,,,
Agent,Got it! What email should I send option options to?,,,,,
Lead,ivy12@live.com,,,Ready to send a list,,Asking for only email usually means I already have full name and I'm texting her so I already have her number
Agent,"Perfect, I'll send you some options shortly!",,,,,
Agent,"Just emailed your list. Check spam if you don't see it.

Some require me to escort you to get credit + a lot of of the properties require your locator to set up your appt - so please let me take care of all scheduling 👍🏼

Let me know the top 3-5 you want to tour ideally in the next 24-48 hours and I'll set them up.",,,List sent,,
Agent,"Hey Ivy, I saw your list of favorites. Would you like me to schedule tours for this weekend?",,,,,
Lead,"Yes, I would love that",,,,,
Lead,"I'm at work at the moment, but I will send you a message later",,,,"May 6, 2025",
Agent,"Okay perfect, I'll wait for your message",,,,"May 6, 2025",
Agent,"Hey Ivy, good afternoon. Sending a light nudge to make sure we have enough time to get you scheduled for this weekend.",,,,"May 7, 2025",
Lead,Can we do Saturday morning? I have already looked at pros Hardy Yards.,,,,,
Lead,"*Lead sends photo showing Prose Hardy Yards, Pearl Midtown, and Meridian City Park",,,,,
Agent,"For sure. So you only want to see Pearl Midtown in Meridian city Park? Not pros again, right?",,,,,
Lead,Yes,,,,,
Lead,I can do anytime before 3 PM,,,Time to schedule tours,,
Agent,"Okay, I'll get you scheduled",,,,,
Agent,"One more I think might be worth a look is Lenox Oaks - $1555 (25 mins from Hobby)

And then Pearl marketplace - you'll be in the area, across the street from Pearl Midtown. They only have Jr floor plans in price range though (over 600 ft.² but more like a studio with a separate bedroom)",,,,,"She mentioned on Instagram she wanted to be close to Hobby

I clarified what a Jr was because she said she didn't want a studio and wanted over 600 square feet so this option might work for her because it's not a true studio and has a seperate bedroom"
Lead,I'll look at them,,,,,
Agent,"Okay, I'll follow up with your full schedule",,,,,
Agent,What is your last name?,,,,,
Lead,Bladon,,,Time to schedule tours,,
Agent,"I also just realized you have Pearl Midtown but it’s not actually Pearl Midtown prices you’re seeing. They do this weird thing where they have prices for 3 different properties on one website (pearl midtown, Pearl at the mix, 2222 Smith street). They’re all within a block of each other.

You’ll actually be seeing Pearl at the Mix. Also considered a studio but has a separate bedroom (655 sqft | $1394). Slightly newer that Pearl Midtown also which is good. Just wanted to clear things so you aren’t confused when visiting!",,,,,
Lead,That's weird lol thanks for the insight,,,,,
Lead,Are they all under the same management?,,,,,
Agent,"Lol yes very weird. And yes, same management.",,,,,
Agent,"Hey Ivy, here’s your schedule for tomorrow. Let me know
if you have any questions!

Saturday, May 10
10 AM – Meridian city Park
11 AM – Pearl marketplace
11:30 AM – Pearl at the mix
1:30 PM – Lennox Oaks

I won’t be there but reach me via text/call
if you run into anything. Excited to hear your feedback
tomorrow!",,,Sent tour dates/times,,
Lead,thank you so much! looking forward to it,,,,,
Agent,Pleasure is mine!,,,,,
Agent,Good morning Ivy! How were your tours yesterday? Did any of them feel like the right fit?,,,,,
Lead,really well.. i'm going to put in an application for Pearl at the Mix. i really like that one,,,Lead will apply,,
Agent,"That’s great! I’m really happy to hear you found the one.
I’ll be here to help however I can. Please look out for the
referral section on the application, and choose “Locator
Service” when asked. That’s how the building credits me
for us working together 🙏🏼

Please let me know when you’ve been approved and if
there’s anything I can do at all to help!",,,,,
Lead,i will!,,,,,
Lead,can't thank you enough!,,,,,
Agent,Thank you! It’s been a pleasure to help!,,,,,
Agent,"Hey Ivy, just wanted to make sure you’re all good. Were you able to submit your application with no issues?",,,,,
Lead,yes i sent in the application for press at the mix,,,,,
Lead,waiting to hear back from them 🙏🏼,,,,,
Agent,Okay great! Let me know if you need any help communicating with the office,,,,,
Agent,"Hey Ivy, just checking on you. How’s the application process going with Pearl at the Mix?",,,,,
Lead,great i got approved!,,,Approved,,
Agent,That’s amazing! I’m really happy we found something you love! And I really appreciate you working with me,,,,,
Lead,i appreciate you setting it all up for me!,,,,,
Agent,"Pleasure has been all mine! I’ll need a few lease details for my company. Can you send these when you get a
chance please…

- move date
- base rent amount
- any specials received
- Lease term
- unit number",,,,,
Lead,there wasn't any specials available. i move in July 1st. Lease term is 12 months. Base rent is $1426. apt numer is 1504,,,Received lease details,,
Agent,Thanks for the info! I’m always here as a resource so if you ever have questions/concerns throughout your lease never hesitate to reach out!,,,,,
Lead,Thanks!,,,,,
,,,,,,
,"Hey Vanessa, it's Ashanti from IG! I'll send some options in a bit. Just so I can gauge the level of urgency you need to have, are you open to moving at any time for the right deal, or are you set on moving after summer?",,,,"May 5, 2025",
Lead,Hey Ashanti! And my lease ends 7/31 so at least not before then,,,,,
Agent,"OK, got it. I'll send you some options tonight. Bear with me though. I'm away from my computer so it could be late.",,,Lead needs list,,
Lead,"OK, that's cool, thanks",,,,,
Agent,Don't mention it!,,,,,
Agent,"Good morning Vanessa! I emailed your list last night. I didn’t want to text so late
 
Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling 👍🏽

I spread the areas out a bit since not many new apartments have been built in Briar forest recently. My favorite in the area to stay under budget will probably be Remy on the trails. 

Let me know the top 3-5 you want to tour ideally in the next 24-48 hours and I’ll set them up for when most convenient for you. ",,,Sent List,,
Lead,"Hey good morning, thanks for the list! I’m going to check them out in more detail I’ve actually been to Remy on the trail to visit a friend. I’m currently living in Katy and wanting to move somewhen in between Katy and the loop. Where I’d be about 20 min from work (in Katy) and 20 min from the city. Would that be considered Briar Forest? Or are there other areas that would be good and have fairly new apartments?",,,,,Lead asking area/apartment specific questions - Should be escalated to a human
Agent,"Happy to help! Okay great… that makes sense. Yes that would be Memorial/Briar forest/Energy Corridor. Not so many apartments have been built in these areas in the past few years. Mainly further toward Katy or closer toward the city. Depending on how close to the city you’re willing to be, I’d also look into The Briarly. It’s right outside of Uptown, you’d be looking at a 35 min drive to and from work depending on the location. 

Other areas would favor one direction pretty heavily, Katy or the City. Like Mission Bend or Jersey Village but it just seems like it would be more convenient that you stay along Katy Fwy, correct me if I’m wrong ",,,,,Human knowledge
Lead,Yes you’re right. I don’t want to be to prone to the Houston traffic ,,,,,
Agent,Definitely understandable. How soon do you want to start touring? My suggestion is the end of this month when all 60 day notices are in from current renters for the end of July,,,,,
